button_choice,action_choice,coordinate_choice,reward,cumulative_reward,rt,total_trial_time,iti,block_n,trial_n
B,L,"[3, 1]",1.0,2.0,0.1775519847869873,1.8018720149993896,0.6173456365916807,14.0,86.0
R,U,"[2, 1]",1.0,3.0,0.15955495834350586,1.4665958881378174,0.30099889823684695,14.0,87.0
Y,R,"[2, 2]",1.0,4.0,0.17484688758850098,1.5757288932800293,0.3932334598791853,14.0,88.0
R,U,"[1, 2]",1.0,5.0,0.17338895797729492,1.7076318264007568,0.5340712456551986,14.0,89.0
Y,R,"[1, 3]",1.0,6.0,0.14985108375549316,1.4940910339355469,0.34514540260651616,14.0,90.0
,,"(3, 3)",,,,,,14.0,
B,L,"[3, 2]",1.0,1.0,0.473330020904541,3.2628729343414307,0.2747350343465796,,91.0
B,L,"[3, 1]",1.0,2.0,0.17389607429504395,1.793015956878662,0.6174776222759797,15.0,92.0
R,U,"[2, 1]",1.0,3.0,0.19803500175476074,1.7072370052337646,0.5081236430481519,15.0,93.0
Y,R,"[2, 2]",1.0,4.0,0.1861100196838379,1.7555418014526367,0.5636922582799861,15.0,94.0
R,U,"[1, 2]",1.0,5.0,0.193681001663208,1.5974528789520264,0.3946082139668124,15.0,95.0
Y,R,"[1, 3]",1.0,6.0,0.22632503509521484,1.6238150596618652,0.4018444126143202,15.0,96.0
,,"(3, 3)",,,,,,15.0,
B,L,"[3, 2]",1.0,1.0,0.5020439624786377,3.079219102859497,0.431217250916985,,97.0
B,L,"[3, 1]",1.0,2.0,0.19963502883911133,1.7885940074920654,0.5696022489359918,16.0,98.0
R,U,"[2, 1]",1.0,3.0,0.17942595481872559,1.6922438144683838,0.511785091746541,16.0,99.0
Y,R,"[2, 2]",1.0,4.0,0.15005707740783691,1.5823948383331299,0.427628681017341,16.0,100.0
R,U,"[1, 2]",1.0,5.0,0.17012906074523926,1.4679059982299805,0.2957791473518929,16.0,101.0
Y,R,"[1, 3]",1.0,6.0,0.22629714012145996,1.9158270359039307,0.6945012502076536,16.0,102.0
,,"(3, 3)",,,,,,16.0,
B,L,"[3, 2]",1.0,1.0,0.22272300720214844,3.6365439891815186,0.6810764992399146,,103.0
B,L,"[3, 1]",1.0,2.0,0.16953396797180176,1.7143080234527588,0.528938871492459,17.0,104.0
R,U,"[2, 1]",1.0,3.0,0.19977498054504395,1.855402946472168,0.6508520458367701,17.0,105.0
Y,R,"[2, 2]",1.0,4.0,0.1679379940032959,1.5547089576721191,0.37263675266787394,17.0,106.0
R,U,"[1, 2]",1.0,5.0,0.1651599407196045,1.421116828918457,0.26063897202200403,17.0,107.0
Y,R,"[1, 3]",1.0,6.0,0.20682001113891602,1.5983209609985352,0.3920594371577409,17.0,108.0
,,"(3, 3)",,,,,,17.0,
B,L,"[3, 2]",1.0,1.0,0.34141016006469727,3.261960983276367,0.6038015983294883,,109.0
B,L,"[3, 1]",1.0,2.0,0.18703794479370117,1.5716359615325928,0.37573679733653065,18.0,110.0
R,U,"[2, 1]",1.0,3.0,0.19653105735778809,1.8333239555358887,0.6421223472020752,18.0,111.0
Y,R,"[2, 2]",1.0,4.0,0.17707490921020508,1.7559258937835693,0.5814307380575325,18.0,112.0
R,U,"[1, 2]",1.0,5.0,0.19864392280578613,1.4720640182495117,0.2707296817148746,18.0,113.0
Y,R,"[1, 3]",1.0,6.0,0.2618279457092285,1.7676470279693604,0.5046406412072626,18.0,114.0
,,"(3, 3)",,,,,,18.0,
B,L,"[3, 2]",1.0,1.0,0.20104098320007324,3.123265027999878,0.5113483068041003,,115.0
B,L,"[3, 1]",1.0,2.0,0.19079089164733887,1.563115119934082,0.3746593468581202,19.0,116.0
R,U,"[2, 1]",1.0,3.0,0.2211151123046875,1.7896859645843506,0.5640609532212106,19.0,117.0
Y,R,"[2, 2]",1.0,4.0,0.1882319450378418,1.8773632049560547,0.6747995632291037,19.0,118.0
R,U,"[1, 2]",1.0,5.0,0.16980314254760742,1.613461971282959,0.43857562919569343,19.0,119.0
Y,R,"[1, 3]",1.0,6.0,0.21306896209716797,1.869438886642456,0.6576514423037875,19.0,120.0
,,"(3, 3)",,,,,,19.0,
B,L,"[3, 2]",1.0,1.0,0.3461000919342041,6.673827171325684,0.31542049433738995,,121.0
B,L,"[3, 1]",1.0,2.0,0.17637205123901367,1.8873250484466553,0.702203332642378,20.0,122.0
R,U,"[2, 1]",1.0,3.0,0.203078031539917,1.5802290439605713,0.3661728320207578,20.0,123.0
Y,R,"[2, 2]",1.0,4.0,0.1538698673248291,1.8415980339050293,0.6741567439719041,20.0,124.0
R,U,"[1, 2]",1.0,5.0,0.18632006645202637,1.7879259586334229,0.5954388504282365,20.0,125.0
Y,R,"[1, 3]",1.0,6.0,0.16423892974853516,1.7264001369476318,0.5720502651734645,20.0,126.0
,,"(3, 3)",,,,,,20.0,
B,L,"[3, 2]",1.0,1.0,0.1377110481262207,3.2897989749908447,0.6617614991983776,,127.0
B,L,"[3, 1]",1.0,2.0,0.15987586975097656,1.8418920040130615,0.6869259697516239,21.0,128.0
R,U,"[2, 1]",1.0,3.0,0.17962002754211426,1.8030469417572021,0.6235562684714179,21.0,129.0
Y,R,"[2, 2]",-1.0,3.0,0.09770393371582031,5.860713005065918,0.6343716971067608,21.0,130.0
Y,R,"[2, 3]",-1.0,2.0,0.2501399517059326,1.9293529987335205,0.663753240344384,21.0,131.0
R,U,"[1, 3]",1.0,3.0,0.18709993362426758,1.5288591384887695,0.32617802652511063,21.0,132.0
,,"(3, 3)",,,,,,21.0,
B,L,"[3, 2]",1.0,1.0,0.16468310356140137,38.51756310462952,0.5106783942386925,,133.0
B,L,"[3, 1]",1.0,2.0,0.17991304397583008,1.5589349269866943,0.38652175236876346,22.0,134.0
R,U,"[2, 1]",1.0,3.0,0.1924149990081787,1.7656779289245605,0.5688013585964079,22.0,135.0
Y,R,"[2, 2]",1.0,4.0,0.19693708419799805,1.7278320789337158,0.5299079611289709,22.0,136.0
R,U,"[1, 2]",1.0,5.0,0.17958617210388184,1.702812910079956,0.5161370732220596,22.0,137.0
Y,R,"[1, 3]",1.0,6.0,0.1850290298461914,1.8326749801635742,0.632121418689639,22.0,138.0
,,"(3, 3)",,,,,,22.0,
B,L,"[3, 2]",1.0,1.0,0.24419093132019043,3.167375087738037,0.5330764293560717,,139.0
B,L,"[3, 1]",1.0,2.0,0.21683907508850098,1.9289228916168213,0.6950364925729742,23.0,140.0
